Column1;Column2
;
"Соглашение о расторжении договора об оказании услуг от ""13"" августа 2020 года № 23 г. Сарапул ""15"" ноября 2020 года Общество с ограниченной ответственностью ""Сириус"", далее именуемое ""Заказчик"", в лице генерального директора Грушева Сергея Сергеевича, действующего на основании Устава, с одной стороны, и общество с ограниченной ответственностью ""Альдебаран"", далее именуемое ""Исполнитель"", в лице Константинова Петра Петровича, действующего на основании Устава, с другой стороны, вместе именуемые ""Стороны"", а индивидуально - ""Сторона"", составили настоящее соглашение (далее - Соглашение) о нижеследующем: 1. По согласию обеих Сторон принято решение расторгнуть договор об оказании консультационных услуг от ""13"" августа 2020 года № 23 (далее - Договор). 2. Стороны произвели сверку расчетов по Договору (документ прилагается). 3. Заказчик в течение 5 (пяти) рабочих дней с момента подписания Соглашения обязуется перечислить Исполнителю сумму в размере 30 000 (тридцать тысяч) рублей, включая НДС 20% за услуги, которые были фактически оказаны. 4. Исполнитель в течение 2 (двух) рабочих дней с момента подписания Соглашения обязуется вернуть Заказчику документы, которые были приняты от него по Договору. 5. Договор считается расторгнутым с момента подписания данного Соглашения. 6. Соглашение составлено в двух экземплярах, имеющих равную юридическую силу, по одному для каждой из Сторон. Реквизиты Сторон Заказчик Исполнитель ООО ""Сириус"", 427960, г. Сарапул, ул. Партизанская, д. 12, тел. 8 (34147) 5-55-55, ИНН 1830980987, КПП 5677892345, ОГРН 4567652348763 ООО ""Альдебаран"", 426008, г. Ижевск, ул. Колхозная, д. 112, оф. 9А, тел. 8 (3412) 88-88-88, ИНН 5611112223, КПП 562233445, ОГРН 98765433456765432 Подписи Сторон Заказчик: Грушев / С.С. Грушев Исполнитель: Константинов / П.П. Константинов";Официально-деловой стиль
;
Дело № 2-7667/2024 3 марта 2024 года В Тюменский городской суд Тюменской области Тюменская область, г. Тюмень, ул. Симонова, д. 53а. Истец: Логинова Тамара Павловна Адрес регистрации: г. Тюмень, ул. Ожегова, д. 53, кв. 12. Представитель истца: Ватов Николай Денисович Ответчик: Сидоров Андрей Витальевич Адрес регистрации: г. Тюмень, ул. Пушкина, д. 24, кв. 241 Возражение на восстановление пропущенного срока В производстве Тюменского городского суда Тюменской области находится гражданское дело по иску Логиновой Тамары Павловны к Сидорову Андрею Витальевичу по поводу взыскания алиментов на несовершеннолетнего ребёнка. Судом было вынесено решение в пользу Истца. Ответчик обратился с апелляционной жалобой по факту истечения 45 дней с даты вынесения решения, однако согласно ст. 321 ГПК апелляционная жалоба подаётся на не вступившее в силу решения суда. Решение суда вступает в силу после 30 дней с даты оглашения. В качестве основания для восстановления процессуального срока Ответчик отмечает, что лично не присутствовал при оглашении решения, не получал его копию на руки, а также по почте. Руководствуясь ст. 35, 149 ГПК, прошу: 1. Отказать в удовлетворении ходатайства о восстановлении пропущенного срока. Логинова Тамара Павловна (Логинова);Официально-деловой стиль
;
"Соглашение № 23 О расторжении договора аренды нежилого помещения № 45 от ""24"" августа 2019 года г. Ижевск ""21"" октября 2020 года ООО ""Альфа"", именуемое в дальнейшем ""Арендодатель"", в лице генерального директора Саратова Петра Петровича, действующего на основании Устава, и ООО ""Гамма"", именуемое в дальнейшем ""Арендатор"", в лице генерального директора Степанова Ильи Ильича, действующего на основании Устава, вместе именуемые ""Стороны"", а индивидуально – ""Сторона"", подписали настоящее соглашение к договору аренды нежилого помещения № 45 от ""24"" августа 2019 года (далее – ""Договор"") о нижеследующем: 1. Расторгнуть Договор с даты подписания данного соглашения. 2. Все обязательства Сторон по Договору прекращаются с момента его расторжения и возврата арендованного нежилого помещения по адресу г. Ижевск, ул. Липовая, д. 89, общей площадью 80 кв. м Арендодателю по акту приема-передачи. 3. В акте приема-передачи необходимо указать техническое состояние нежилого помещения на момент передачи. 4. Стороны должны подписать Акт в течение 14 календарных дней с момента подписания настоящего соглашения. 5. Соглашение составлено в 2 (двух) экземплярах, имеющих равную юридическую силу, по одному экземпляру для каждой из Сторон. Реквизиты Сторон: Арендодатель Арендатор ООО ""Альфа"", 426009, г. Ижевск, ул. Колхозная, д. 45, тел. 8 (3412) 55-55-55, ИНН 1831231234, КПП 876345234, ОГРН 6784563636363 ООО ""Гамма"", 426008, г. Ижевск, ул. Лесная, д. 56, оф. 12, тел. 8 (3412) 44-44-44, ИНН 5612342345, КПП 567345123, ОГРН 5673452341234 Подписи Сторон: Арендодатель: Саратов / П.П. Саратов Арендатор: Степанов / И.И. Степанов";Официально-деловой стиль
;
"Дополнительное соглашение к договору купли-продажи от ""24"" октября 2020 года № 55 г. Петрозаводск ""2"" ноября 2020 года Общество с ограниченной ответственностью ""Аякс"", далее именуемое ""Продавец"", в лице генерального директора Павлова Николая Николаевича, действующего на основании Устава, с одной стороны, и общество с ограниченной ответственностью ""Ультрамарин"", далее именуемое ""Покупатель"", в лице генерального директора Львова Семена Семеновича, действующего на основании Устава, с другой стороны, вместе именуемые ""Стороны"", а индивидуально – ""Сторона"", составили настоящее дополнительное соглашение (далее – Соглашение) к договору купли-продажи № 55 от ""24"" октября о нижеследующем: 1. По согласию обеих Сторон принято решение о расторжении предварительного договора купли-продажи земельного участка № 55 от ""24"" октября 2020 года. 2. Покупатель согласен на возврат задатка в одинарном размере в сумме 300 000 (триста тысяч) рублей и не предъявляет Продавцу требований по возврату задатка в двойном размере. 3. Продавец обязан вернуть полученный задаток в размере 300 000 (триста тысяч) рублей в течение 5 (пяти) рабочих дней с момента подписания настоящего Соглашения. 4. Обязательства Сторон по исполнению условий указанного Договора прекращаются с момента подписания Соглашения. 5. Стороны по исполнению условий Договора претензий друг к другу не имеют. 6. Данное Соглашение составлено в двух экземплярах, имеющих равную юридическую силу, по одному экземпляру для каждой из Сторон. Реквизиты Сторон Продавец Покупатель ООО ""Аякс"", 185001, г. Петрозаводск, ул. Речная, д. 98, тел. 8 (8142) 83-83-83, ИНН 1834532345, КПП 5671112223, ОГРН 9876123454321 ООО ""Ультрамарин"", 185023, г. Петрозаводск, ул. Лесная, д. 112, оф. 16А, тел. 8 (3412) 52-52-52 , ИНН 5610009998, КПП 65432198765, ОГРН 98763429443524 Подписи Сторон Продавец: Павлов / Н.Н. Павлов Покупатель: Львов / С.С. Львов";Официально-деловой стиль
;
Дело № 2-2353/2024 27 февраля 2024 года В Тюменский городской суд Тюменская область, г. Тюмень, ул. Симонова, д. 53а. Истец: Логинова Тамара Павловна Адрес регистрации: г. Тюмень, ул. Ожегова, д. 53, кв. 12. Ответчик: Сидоров Андрей Витальевич Адрес регистрации: г. Тюмень, ул. Пушкина, д. 24, кв. 241 Возражение на исковое заявление В производстве Тюменского городского суда Тюменской области находится гражданское дело по иску Логиновой Тамары Павловны к Сидорову Андрею Витальевичу по поводу взыскания алиментов на несовершеннолетнего ребёнка. Истец полагает, что обязательство по выплате алиментов возникло у Ответчика по факту отцовства относительно несовершеннолетнего Сидорова Виктора Андреевича. Отмечу, что запись об отцовстве в свидетельство о рождении Сидорова Виктора Андреевича была сделана без моего ведома. С Логиновой Тамарой Павловной мы не проживаем вместе уже больше года, брак был расторгнут за 13 месяцев до рождения ребёнка, отцом которого я не являюсь. Руководствуясь ст. 35, 149 ГПК, прошу: В удовлетворении исковых требований отказать в полном объёме. Сидоров Андрей Витальевич (Сидоров);Официально-деловой стиль
;
Дело № 2-2353/2024 27 февраля 2024 года В Тюменский городской суд Тюменская область, г. Тюмень, ул. Симонова, д. 53а. Истец: Логинова Тамара Павловна Адрес регистрации: г. Тюмень, ул. Ожегова, д. 53, кв. 12. Ответчик: Сидоров Андрей Витальевич Адрес регистрации: г. Тюмень, ул. Пушкина, д. 24, кв. 241 Возражение на частную жалобу Мировым судьей судебного участка № 54 судебного района г. Тюмени вынесено определение об отказе в восстановлении пропущенного процессуального срока для подачи апелляционной жалобы, в результате чего Ответчиком была заявлена частная жалоба на определение мирового судьи. Истец выражает несогласие с частной жалобой Ответчика, считая, что судом нормы процессуального права были применены правильно. Так, в качестве основания для восстановления срока Ответчик привёл отдых на курорте в г. Сочи, однако решение суда первой инстанции было принято ещё до начала поездки. Руководствуясь ст. 35, 332, 333 ГПК, прошу: 1. Отказать в удовлетворении частной жалобы. Логинова Тамара Павловна (Логинова);Официально-деловой стиль
;
"Дополнительное соглашение № 47 к трудовому договору № 12-ТД от ""30"" марта 2015 года об отмене дистанционной работы г. Киров ""10"" сентября 2020 года Общество с ограниченной ответственностью ""Астра"" (ООО ""Астра""), именуемое в дальнейшем ""Работодатель"", в лице генерального директора Ложкина Петра Петровича, действующего на основании Устава, с одной стороны, и дизайнер Соколов Илья Ильич, именуемый в дальнейшем ""Работник"", с другой стороны, вместе именуемые ""Стороны"", заключили настоящее дополнительное соглашение к трудовому договору № 12-ТД от ""30"" марта 2015 года о нижеследующем: 1. П. 2 трудового договора изложить в следующей редакции: ""Работник выполняет трудовую функцию по месту нахождения работодателя: г. Киров, ул. Некрасова, д. 87, оф. 11Б. Начало рабочего дня – в 8:00, окончание – в 17:00. Обеденный перерыв: с 12:00 до 13:00. Рабочие дни: понедельник, вторник, среда, четверг, пятница. Выходные дни: суббота, воскресенье"". 2. П. 5 трудового договора изложить в следующей редакции: ""Работодатель обязан обеспечить Работника необходимым оборудованием и технической документацией для выполнения работы"". 3. Остальные пункты трудового договора № 12-ТД от ""30"" марта 2015 года оставить неизменными. 4. Настоящее дополнительное соглашение вступает в силу с ""16"" сентября 2020 года и является неотъемлемой частью трудового договора № 12-ТД от ""30"" марта 2015 года. 5. Настоящее дополнительное соглашение составлено в двух экземплярах, имеющих одинаковую юридическую силу: по одному для каждой из Сторон. Реквизиты и подписи сторон Работодатель Работник ИНН 1839998887, КПП 776655448, ОГРН 9876598765432 Место нахождения: г. Киров, ул. Некрасова, д. 87, оф. 11Б. Генеральный директор ООО ""Астра"": П.П. Ложкин Паспорт: 9123 565656, выдан Октябрьским РОВД гор. Кирова, 22.09.2003 года. Место жительства: г. Киров, ул. Салтыкова-Щедрина, д. 123, кв. 11. Работодатель: Ложкин / П.П. Ложкин Работник: Соколов / И.И. Соколов Экземпляр дополнительного соглашения на руки получил: Соколов / И.И. Соколов Дата: ""10"" сентября 2020 года";Официально-деловой стиль
;
Дело № 2-2353/2024 27 февраля 2024 года В Тюменский областной суд через Тюменский городской суд Тюменской области Тюменская область, г. Тюмень, ул. Симонова, д. 53а. Истец: Логинова Тамара Павловна Адрес регистрации: г. Тюмень, ул. Ожегова, д. 53, кв. 12. Ответчик: Сидоров Андрей Витальевич Адрес регистрации: г. Тюмень, ул. Пушкина, д. 24, кв. 241 Возражение на апелляционную жалобу В производстве Тюменского областного суда находится апелляционная жалоба Логиновой Тамары Павловны на решение Тюменского городского суда от 20.10.2024 г. по делу № 2-2353/2024 г. Истец, не согласившись с решением суда первой инстанции, решил обратиться с апелляционной жалобой. Истец полагает, что обязательство по выплате алиментов возникло у Ответчика по факту отцовства относительно несовершеннолетнего Сидорова Виктора Андреевича. Отмечу, что запись об отцовстве в свидетельство о рождении Сидорова Виктора Андреевича была сделана без моего ведома. С Логиновой Тамарой Павловной мы не проживаем вместе уже больше года, брак был расторгнут за 13 месяцев до рождения ребёнка, отцом которого я не являюсь. Судом первой инстанции указанные выше обстоятельства были приняты, легли в основу решения, однако Истец с мнением суда не согласился. Руководствуясь ст. 35, 149 ГПК, прошу: В удовлетворении апелляционной жалобы отказать, решение суда первой инстанции оставить без изменения, на новое рассмотрение дело не возвращать. Сидоров Андрей Витальевич (Сидоров);Официально-деловой стиль
;
"Приложение к договору подряда № 123 от ""22"" октября 2020 года Соглашение об отсутствии взаимных претензий г. Киров ""12"" ноября 2020 года ООО ""Геркулес"", именуемое ""Заказчик"", в лице генерального директора Николаева Ивана Ивановича, действующего на основании Устава, с одной стороны, и Смирнов Петр Петрович, паспорт серия 9300, № 123456, выдан Индустриальным РОВД г. Кирова, 13 августа 2005 года, именуемый ""Исполнитель"", с другой стороны, вместе именуемые ""Стороны"", а индивидуально – ""Сторона"", заключили настоящее соглашение о нижеследующем: 1. На момент заключения настоящего соглашения Стороны в полной мере исполнили обязательства по заключенному договору № 123 от ""22"" октября 2020 года. 2. Смирнов Петр Петрович произвел работы по ремонту газового генератора ФАС-150 З/Р. Работы выполнены в срок и надлежащим образом. 3. ООО ""Геркулес"" приняло работы и согласно, что они соответствуют установленным требованиям. 4. Стороны не имеют претензий друг к другу относительно качества работ и их оплаты. Реквизиты Сторон Заказчик Исполнитель ООО ""Геркулес"", 610009, г. Киров, ул. Осиновая, д. 12, оф. 25А, тел.: 8 (8332) 56-23-22, ИНН 5612342345, КПП 23412356677, ОГРН 8765456789876 Смирнов Петр Петрович, паспорт серия 9300, № 123456, выдан Индустриальным РОВД г. Кирова, 13 августа 2005 года. Регистрация: г. Киров, ул. Дубовая, д. 56, кв. 45 Подписи Сторон Заказчик: Николаев / И.И. Николаев Исполнитель: Смирнов / П.П. Смирнов";Официально-деловой стиль
;
"ООО «Строй Дор № 1» ПРОТОКОЛ общего собрания трудового коллектива № 12 г. Энгельс «05» апреля 2019 г. Списочный состав: 139 человек. В штате: 129 человек, в том числе внешних совместителей: 10 человек. Присутствовало: 123 человека. Председатель собрания: заместитель директора по общим вопросам Кошкин Е.С. Секретарь: Новикова И.Н. ПОВЕСТКА ДНЯ: 1. Выбор кандидатуры для поездки на конференцию об укреплении межкорпоративных связей внутри отраслевого бизнеса. Возможные кандидатуры, предложенные руководством компании: 1.Долгоедов М.И. – специалист отдела по связям с общественностью 2. Корякина Д.Т. – руководитель отдела маркетинга; 3. Деньжаткина Л.Ф. – начальник отдела кадров Голосовали: 1. Долгоедов М.И. – за - 30, против - 17, воздержавшихся - 76; 2. Корякина Д.Т. – за - 75, против - 12, воздержавшихся - 36; 3. Деньжаткина Л.Ф. – за - 15, против - 9, воздержавшихся - 105; Решение Общего собрания: отправить на конференцию руководителя отдела маркетинга Корякину Д.Т. Председатель собрания Кошкин Кошкин Е.С. Секретарь собрания Новикова Новикова И.Н.";Официально-деловой стиль
;
"УКАЗ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ О ВНЕСЕНИИ ИЗМЕНЕНИЙ В ГОСУДАРСТВЕННУЮ ПРОГРАММУ ПО ОКАЗАНИЮ СОДЕЙСТВИЯ ДОБРОВОЛЬНОМУ ПЕРЕСЕЛЕНИЮ В РОССИЙСКУЮ ФЕДЕРАЦИЮ СООТЕЧЕСТВЕННИКОВ, ПРОЖИВАЮЩИХ ЗА РУБЕЖОМ, УТВЕРЖДЕННУЮ УКАЗОМ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ОТ 22 ИЮНЯ 2006 Г. N 637 1. Внести в Государственную программу по оказанию содействия добровольному переселению в Российскую Федерацию соотечественников, проживающих за рубежом, утвержденную Указом Президента Российской Федерации от 22 июня 2006 г. N 637 ""О мерах по оказанию содействия добровольному переселению в Российскую Федерацию соотечественников, проживающих за рубежом"" (Собрание законодательства Российской Федерации, 2006, N 26, ст. 2820; 2012, N 38, ст. 5074; 2013, N 28, ст. 3816; 2014, N 14, ст. 1615; N 27, ст. 3754; N 30, ст. 4288; 2016, N 9, ст. 1249; N 40, ст. 5723; N 50, ст. 7077; 2018, N 12, ст. 1670; 2019, N 22, ст. 2798; N 30, ст. 4292; 2020, N 11, ст. 1529; N 20, ст. 3159; 2021, N 13, ст. 2208), следующие изменения: а) в пункте 13 слова ""Решение об участии в Государственной программе"" заменить словами ""Решение о переселении в рамках Государственной программы на постоянное место жительства в Российскую Федерацию""; б) пункт 15 изложить в следующей редакции: ""15. Решение соотечественника о переселении в рамках Государственной программы на постоянное место жительства в Российскую Федерацию оформляется путем подачи им заявления об участии в Государственной программе. Соотечественник и члены его семьи, совместно переселяющиеся на постоянное место жительства в Российскую Федерацию, в установленном порядке представляют необходимые сведения. Форма заявления об участии в Государственной программе, перечень сведений, которые должны содержаться в нем, и перечень документов, прилагаемых к заявлению, утверждаются Правительством Российской Федерации.""; в) дополнить пунктом 15.1 следующего содержания: ""15.1. За пределами Российской Федерации заявление об участии в Государственной программе подается соотечественниками в уполномоченные органы, указанные в пункте 37 настоящей Государственной программы, в государствах: а) их гражданской принадлежности; б) их постоянного проживания; в) их пребывания - для соотечественников, постоянно проживающих на территориях иностранных государств, которые совершают недружественные действия в отношении Российской Федерации, российских юридических лиц и физических лиц и перечень которых определен Правительством Российской Федерации.""; г) пункт 16 изложить в следующей редакции: ""16. На территории Российской Федерации заявление об участии в Государственной программе в уполномоченные органы, указанные в пункте 38 настоящей Государственной программы, вправе подать соотечественники, являющиеся иностранными гражданами: а) постоянно или временно проживающие на законном основании на территории Российской Федерации; б) прибывшие на территорию Российской Федерации в экстренном массовом порядке и признанные беженцами на территории Российской Федерации или получившие временное убежище на территории Российской Федерации; в) постоянно проживающие на территориях иностранных государств, которые совершают недружественные действия в отношении Российской Федерации, российских юридических лиц и физических лиц и перечень которых определен Правительством Российской Федерации, прибывшие на территорию Российской Федерации и признанные беженцами на территории Российской Федерации или получившие временное убежище на территории Российской Федерации.""; д) в пункте 37 слова ""подготовке их регистрации в качестве участников Государственной программы"" заменить словами ""приему заявления об участии в Государственной программе, оформлению свидетельства участника Государственной программы""; е) пункт 39 признать утратившим силу. 2. Правительству Российской Федерации в 6-месячный срок привести свои акты в соответствие с настоящим Указом. 3. Признать утратившим силу пункт 1 Указа Президента Российской Федерации от 14 сентября 2012 г. N 1289 ""О реализации Государственной программы по оказанию содействия добровольному переселению в Российскую Федерацию соотечественников, проживающих за рубежом"" (Собрание законодательства Российской Федерации, 2012, N 38, ст. 5074) в части, касающейся изложения в новой редакции пункта 39 Государственной программы по оказанию содействия добровольному переселению в Российскую Федерацию соотечественников, проживающих за рубежом, утвержденной Указом Президента Российской Федерации от 22 июня 2006 г. N 637 ""О мерах по оказанию содействия добровольному переселению в Российскую Федерацию соотечественников, проживающих за рубежом"". 4. Настоящий Указ вступает в силу со дня его подписания. Президент Российской Федерации В.ПУТИН Москва, Кремль 12 августа 2022 года N 547";Официально-деловой стиль
;
"УКАЗ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ О ВНЕСЕНИИ ИЗМЕНЕНИЙ В УКАЗ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ОТ 18 АПРЕЛЯ 2022 Г. N 209 ""О ДОПОЛНИТЕЛЬНЫХ СОЦИАЛЬНЫХ ГАРАНТИЯХ ВОЕННОСЛУЖАЩИМ ПОГРАНИЧНЫХ ОРГАНОВ ФЕДЕРАЛЬНОЙ СЛУЖБЫ БЕЗОПАСНОСТИ И ЧЛЕНАМ ИХ СЕМЕЙ"" 1. Внести в Указ Президента Российской Федерации от 18 апреля 2022 г. N 209 ""О дополнительных социальных гарантиях военнослужащим пограничных органов федеральной службы безопасности и членам их семей"" (Собрание законодательства Российской Федерации, 2022, N 17, ст. 2866; N 24, ст. 4031) следующие изменения: а) из наименования, преамбулы, подпунктов ""а"" и ""б"" пункта 1 слово ""пограничных"" исключить; б) дополнить пунктом 1.1 следующего содержания: ""1.1. Засчитывать военнослужащим органов федеральной службы безопасности, непосредственно выполняющим (выполнявшим) задачи по охране государственной границы Российской Федерации на участках, примыкающих к районам проведения специальной военной операции на территориях Донецкой Народной Республики, Луганской Народной Республики и Украины, в выслугу лет для назначения пенсии на льготных условиях: а) один день выполнения задач по охране государственной границы Российской Федерации на участках, примыкающих к районам проведения специальной военной операции на территориях Донецкой Народной Республики, Луганской Народной Республики и Украины, за два дня; б) время непрерывного нахождения на излечении в медицинских организациях в случае получения увечья (ранения, травмы, контузии) при выполнении задач по охране государственной границы Российской Федерации на участках, примыкающих к районам проведения специальной военной операции на территориях Донецкой Народной Республики, Луганской Народной Республики и Украины, из расчета один месяц военной службы за два месяца.""; в) дополнить пунктом 1.2 следующего содержания: ""1.2. Условия зачета военнослужащим органов федеральной службы безопасности, непосредственно выполняющим (выполнявшим) задачи по охране государственной границы Российской Федерации на участках, примыкающих к районам проведения специальной военной операции на территориях Донецкой Народной Республики, Луганской Народной Республики и Украины, в выслугу лет для назначения пенсии на льготных условиях периодов, указанных в пункте 1.1 настоящего Указа, определяются директором Федеральной службы безопасности Российской Федерации."". 2. Настоящий Указ вступает в силу со дня его подписания и распространяется на правоотношения, возникшие с 24 февраля 2022 г. Президент Российской Федерации В.ПУТИН Москва, Кремль 12 августа 2022 года N 545";Официально-деловой стиль
;
"УКАЗ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ О ВНЕСЕНИИ ИЗМЕНЕНИЯ В ПОЛОЖЕНИЕ О МИНИСТЕРСТВЕ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ, УТВЕРЖДЕННОЕ УКАЗОМ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ОТ 11 ИЮЛЯ 2004 Г. N 868 1. Внести в Положение о Министерстве Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий, утвержденное Указом Президента Российской Федерации от 11 июля 2004 г. N 868 ""Вопросы Министерства Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий"" (Собрание законодательства Российской Федерации, 2004, N 28, ст. 2882; 2008, N 43, ст. 4921; N 47, ст. 5431; 2009, N 51, ст. 6285; 2010, N 19, ст. 2301; N 20, ст. 2435; N 51, ст. 6903; 2011, N 1, ст. 193; N 40, ст. 5532; 2012, N 6, ст. 643; N 19, ст. 2329; N 47, ст. 6455; 2013, N 26, ст. 3314; N 52, ст. 7137; 2014, N 11, ст. 1131; N 27, ст. 3754; 2015, N 4, ст. 641; N 11, ст. 1588; 2016, N 1, ст. 211; 2017, N 13, ст. 1913; N 44, ст. 6492; 2018, N 44, ст. 6713; N 52, ст. 8242; 2019, N 42, ст. 5891; 2020, N 1, ст. 7; N 23, ст. 3621; N 27, ст. 4185), изменение, изложив подпункт 10 пункта 9 в следующей редакции: ""10) осуществляет в порядке и пределах, определенных федеральными законами, нормативными правовыми актами Президента Российской Федерации и Правительства Российской Федерации, полномочия собственника в отношении федерального имущества, принадлежащего территориальным органам МЧС России и организациям, находящимся в ведении МЧС России;"". 2. Правительству Российской Федерации в 3-месячный срок наделить Министерство Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий правами, необходимыми для осуществления полномочий собственника в отношении федерального имущества, принадлежащего территориальным органам этого Министерства и организациям, находящимся в его ведении. 3. Настоящий Указ вступает в силу со дня его подписания. Президент Российской Федерации В.ПУТИН Москва, Кремль 7 июня 2021 года N 352";Официально-деловой стиль
;
"УКАЗ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ О ВНЕСЕНИИ ИЗМЕНЕНИЙ В ПОЛОЖЕНИЕ О ФЕДЕРАЛЬНОЙ СЛУЖБЕ ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ, УТВЕРЖДЕННОЕ УКАЗОМ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ОТ 30 СЕНТЯБРЯ 2016 Г. N 510 1. Внести в пункт 9 Положения о Федеральной службе войск национальной гвардии Российской Федерации, утвержденного Указом Президента Российской Федерации от 30 сентября 2016 г. N 510 ""О Федеральной службе войск национальной гвардии Российской Федерации"" (Собрание законодательства Российской Федерации, 2016, N 41, ст. 5802; 2018, N 24, ст. 3503; N 44, ст. 6713; 2020, N 1, ст. 3, 8; N 39, ст. 6017; N 44, ст. 6971; 2021, N 4, ст. 676; N 18, ст. 3123), следующие изменения: а) подпункт 29 признать утратившим силу; б) подпункт 31 изложить в следующей редакции: ""31) устанавливает порядок организации и осуществления образовательной деятельности по образовательным программам среднего профессионального образования, программам бакалавриата, программам специалитета, программам магистратуры, реализуемым в интересах обороны и безопасности государства, обеспечения законности и правопорядка в федеральных государственных образовательных организациях, находящихся в ведении Росгвардии;""; в) подпункт 38 изложить в следующей редакции: ""38) устанавливает особенности организации и осуществления образовательной деятельности по образовательным программам среднего профессионального образования, программам бакалавриата, программам специалитета, программам магистратуры, дополнительным профессиональным программам и основным программам профессионального обучения, особенности организации и осуществления методической и научной (научно-исследовательской) деятельности в области подготовки кадров в интересах обороны и безопасности государства, обеспечения законности и правопорядка, а также деятельности федеральных государственных организаций, осуществляющих образовательную деятельность и находящихся в ведении Росгвардии;"". 2. Настоящий Указ вступает в силу с 1 сентября 2021 г. Президент Российской Федерации В.ПУТИН Москва, Кремль 1 июля 2021 года N 386";Официально-деловой стиль
